X1,Y1,J11,
-0.768066,9.457216,60.891343,
0.739502,11.205997,-61.216212,
-0.246826,9.861519,-63.313013,
1.271729,12.978299,64.790661,
-0.388428,17.792664,-41.303686,
0.324463,14.615086,56.728463,
-0.039307,0.304971,-15.438985,
1.083740,2.527050,33.722421,
-0.913330,2.280635,30.723036,
0.707764,13.123676,-59.216787,
-0.102783,2.024414,-38.020430,
1.461548,21.845681,17.956143,
-0.638062,16.874734,46.645265,
0.411743,18.670991,33.907425,
0.157837,4.552390,52.903906,
0.987915,1.004791,-2.790538,
-0.723511,12.180163,60.516578,
0.809692,6.992334,-56.844792,
-0.367065,16.844642,-47.321813,
1.254028,11.825667,65.319785,
-0.494019,20.236993,-3.348861,
0.369019,16.936563,46.804848,
0.027222,0.146656,10.748811,
1.179565,7.108891,59.137832,
-0.934692,1.703797,23.195561,
0.598511,18.503031,-35.257355,
-0.175415,5.514116,-56.408617,
