X1,X2,Y1,J11,J12,
-0.768066,0.737540,20.783267,60.891343,-61.164321,
0.739502,-0.260402,21.926941,-61.216212,-63.218499,
-0.246826,0.624371,27.350304,-63.313013,-43.004232,
1.271729,0.970736,14.089193,64.790661,-9.546438,
-0.388428,-0.922268,19.812417,-41.303686,27.637293,
0.324463,-0.011203,14.639974,56.728463,-4.441348,
-0.039307,1.459991,22.122233,-15.438985,18.549125,
1.083740,-0.714220,15.266372,33.722421,59.822343,
-0.913330,0.232282,11.223612,30.723036,62.907455,
0.707764,0.839278,18.508177,-59.216787,-51.524410,
-0.102783,-0.223823,10.437142,-38.020430,-62.431522,
1.461548,0.403749,40.235080,17.956143,36.531479,
-0.638062,1.037799,18.232467,46.645265,16.858201,
0.411743,-0.824341,24.847567,33.907425,54.452576,
0.157837,0.060433,5.268323,52.903906,23.409614,
0.987915,1.250419,12.594674,-2.790538,65.332473,
-0.723511,-0.611721,30.190131,60.516578,39.348174,
0.809692,0.362216,23.604442,-56.844792,48.574855,
-0.367065,0.907484,19.310660,-47.321813,-32.686560,
1.254028,-0.441396,31.350196,65.319785,-23.499392,
-0.494019,0.505106,40.486979,-3.348861,-1.005182,
0.369019,1.204694,25.579507,46.804848,62.712651,
0.027222,-0.774044,9.240836,10.748811,60.568146,
1.179565,-0.146472,11.074595,59.137832,-50.293791,
-0.934692,1.321292,17.780743,23.195561,59.275418,
0.598511,-0.448255,38.180073,-35.257355,-20.966681,
-0.175415,0.158741,10.114427,-56.408617,53.100199,
1.357788,0.689148,32.316023,51.680275,-56.916625,
-0.536743,-0.339659,35.478295,13.303622,-53.802104,
0.513062,0.644566,36.795617,-4.124573,-48.252665,
0.229858,1.004649,9.804260,62.789091,3.844262,
0.914368,-0.994665,3.243916,-30.369896,0.116272,
-0.833679,-0.048163,6.132942,52.678223,-18.821582,
0.787415,1.484758,30.449476,-59.528841,8.977458,
-0.272156,-0.690977,25.563215,-62.768335,57.178509,
1.319641,0.255525,26.391205,59.551424,63.305047,
-0.450378,0.766499,29.273440,-20.174731,-60.961539,
0.262512,-0.169715,16.049849,63.162810,-55.345107,
0.008606,0.437281,19.439423,3.413052,24.999160,
1.058411,1.071712,3.932779,24.662235,29.505780,
-0.865417,-0.893309,7.078193,45.290878,37.248793,
0.642151,0.082914,18.015372,-47.665293,31.438344,
-0.080505,1.276330,14.534590,-30.605168,64.526656,
1.452698,-0.585810,40.596479,21.305861,31.087254,
-0.661560,0.326398,30.437464,52.055023,56.383595,
0.461487,0.933394,21.655824,15.979416,-23.667239,
0.097717,-0.407484,20.359461,36.394228,-35.316494,
1.015686,0.539018,21.071673,8.213950,-14.171985,
-0.732361,1.131154,16.129450,60.981635,48.375360,
0.844788,-0.730986,16.830053,-50.324516,60.922029,
-0.317322,-0.123990,17.105214,-57.928718,-44.394040,
1.188416,1.354062,25.554579,60.563248,52.581157,
-0.471741,-0.518366,40.267513,-12.041269,6.197833,
0.358337,0.177793,22.070568,49.545185,56.831119,
0.060486,0.723061,12.924578,23.429144,-60.487784,
1.124939,-0.305746,17.716637,46.661666,-59.628354,
-0.996643,0.594904,19.623619,-0.668120,-34.095655,
0.624451,1.016715,18.574178,-43.026320,8.620096,
-0.186096,-0.962023,7.335286,-58.206916,12.926776,
1.391052,-0.015521,19.729888,42.511683,-6.148783,
-0.591370,1.411091,39.217555,32.939534,36.124794,
0.560974,-0.636234,36.549292,-22.365126,46.179228,
0.193542,0.279404,18.479112,59.306979,62.321425,
0.906433,0.792664,10.480203,-33.034513,-59.002515,
-0.797668,-0.246431,17.522253,58.439321,-63.308917,
0.735535,0.460016,31.346345,-61.101445,16.539462,
-0.221497,1.128741,12.638809,-62.269901,47.718133,
1.289734,-0.856856,18.647512,63.463384,47.480695,
-0.399719,0.045064,18.639785,-37.820689,17.644020,
0.298523,1.300208,27.884047,60.531306,62.331597,
-0.043274,-0.566504,19.829775,-16.960688,24.364362,
1.109070,0.349134,19.443409,41.985041,51.730558,
-0.902191,0.860108,7.003957,34.423947,-46.665444,
0.689606,-0.353884,30.378576,-56.982887,-50.623468,
-0.135590,0.561754,23.005303,-47.555654,-22.648774,
1.485504,1.165320,28.450165,8.685831,56.476921,
-0.614105,-0.799700,25.482565,40.057613,58.193705,
0.428375,-0.103922,21.255763,28.188230,-38.380830,
0.145172,1.398135,23.876091,49.978866,40.320874,
0.960602,-0.494869,21.467288,-13.474212,-3.015155,
-0.699554,0.139562,17.230219,58.302945,48.581510,
0.833649,0.746558,16.451423,-52.684330,-61.324044,
-0.354095,-0.285678,28.514046,-50.573160,-61.831070,
1.237701,0.629960,28.004089,65.119755,-44.531682,
-0.524994,0.947747,21.584921,8.776700,-18.364639,
0.392975,-0.914393,20.225520,39.924627,30.361215,
0.051178,0.001245,0.515493,19.960217,0.493884,
1.152252,1.448433,27.142531,53.654053,22.900502,
-0.947357,-0.701773,14.916054,18.510953,58.565694,
0.571198,0.210435,26.926136,-26.037110,61.321265,
-0.151459,0.848295,9.148216,-51.471313,-49.528053,
1.381744,-0.211375,26.915063,45.270270,-61.413377,
-0.569550,0.411624,38.051628,25.452394,33.947090,
0.494904,1.049484,21.820693,3.001455,21.321362,
0.240997,-0.836661,15.012758,63.213354,52.071942,
0.939240,0.078977,2.814482,-21.530353,30.072822,
-0.808807,1.227811,17.160542,56.973647,64.677812,
0.761017,-0.603465,28.211958,-61.159349,36.822518,
-0.283905,0.373901,29.356731,-61.979315,45.482268,
1.337189,0.883351,20.344487,56.311445,-40.270797,
-0.425507,-0.433521,38.433719,-29.197737,-26.355246,
0.287384,0.488975,32.625072,61.681243,5.326864,
-0.021454,1.219428,9.669072,-8.486925,64.115067,
1.042999,-0.766169,11.023446,18.855666,60.975556,
-0.851532,-0.142026,8.514189,48.771130,-49.202752,
0.667023,1.329167,31.963842,-53.150078,57.875923,
-0.084930,-0.472387,21.470592,-32.130229,-11.791210,
1.426300,0.165473,25.943740,30.919419,54.507726,
-0.673309,0.676447,30.003951,54.330803,-54.887667,
0.479034,-0.321496,34.588832,9.211029,-57.241030,
0.122589,0.655871,18.843339,43.995925,-50.847662,
1.011261,0.981659,2.077650,6.464473,-5.261285,
-0.765167,-0.983361,10.655534,61.016421,4.590023,
0.855927,-0.072296,5.576962,-47.710026,-27.714400,
-0.306183,1.491490,35.761212,-59.569835,6.340946,
1.212372,-0.679292,23.887014,63.508715,55.373768,
-0.477081,0.243205,29.756425,-9.970865,63.261003,
0.331024,0.778184,23.827349,55.526097,-60.292863,
0.077118,-0.192323,7.648941,29.421742,-59.135638,
1.141571,0.445537,24.623994,51.088897,21.975108,
-0.972687,1.083397,3.608506,8.784608,33.604430,
0.619110,-0.886704,20.925896,-41.516374,39.270982,
-0.217072,0.090662,9.580193,-61.926002,34.068683,
1.404022,1.260072,32.427607,38.443380,65.226218,
-0.578400,-0.571204,38.487698,28.557514,26.039257,
0.529999,0.299853,33.275062,-10.713044,60.374297,
0.188202,0.937713,7.884770,58.530944,-22.091666,
0.879120,-0.399736,21.761323,-41.505752,-37.815435,
-0.781036,0.514759,28.894291,60.078881,-4.788726,
0.752167,1.142331,15.473825,-61.321697,51.278794,
-0.248810,-0.743814,20.928937,-63.327716,61.296777,
1.284393,-0.105954,15.940453,63.939247,-39.019010,
-0.375763,1.365239,35.734336,-44.966868,49.798886,
0.309662,-0.510618,33.995858,59.087912,3.167591,
-0.032135,0.188970,6.498560,-12.664640,58.646634,
1.076263,0.698801,15.934650,31.121105,-58.211074,
-0.906158,-0.299141,15.637927,33.125237,-60.458802,
0.714935,0.582203,31.731041,-59.883211,-29.864250,
-0.117584,1.034878,3.931210,-42.546380,15.729020,
1.474213,-0.950719,23.421767,13.084379,17.244558,
-0.640045,-0.038510,17.074511,47.144048,-15.132392,
0.424408,1.422395,39.931011,29.581936,32.282329,
0.170502,-0.659605,21.053481,55.496122,51.647702,
0.974945,0.286897,13.454101,-7.900596,61.724704,
-0.714508,0.801301,20.196405,59.846984,-57.993380,
